,AC-mean,AC-10_moving_average,AC-se,AC-upper,AC-lower,HRS-mean,HRS-10_moving_average,HRS-se,HRS-upper,HRS-lower,RRS-mean,RRS-10_moving_average,RRS-se,RRS-upper,RRS-lower,NRSmean,NRS-10_moving,NRS-se,NRS-upper,NRS-lower,,,,,,,,,
84,4212.19,4116.367,413.8001766,4530.1671766,3702.5668234,2846.96,2986.034,367.7577455,3353.7917455,2618.2762545,3909.58,3976.843,414.7738625,4391.6168625,3562.0691375,3500.48039215686,3801.33039215686,382.710275891629,4184.04066804849,3418.62011626523,,,,,,,,,
85,4457.74,4110.324,415.9164547,4526.2404547,3694.4075453,3276.87,2973.436,378.3741547,3351.8101547,2595.0618453,3993.55,3994.5,400.2284449,4394.7284449,3594.2715551,3784.36274509803,3817.33039215686,381.85773658001,4199.18812873687,3435.47265557685,,,,,,,,,
86,4123.89,4100.832,405.3337943,4506.1657943,3695.4982057,2823.88,2921.342,365.0985172,3286.4405172,2556.2434828,4282.27,4017.98,426.3137849,4444.2937849,3591.6662151,3315.97058823529,3855.56960784313,366.113130846486,4221.68273868962,3489.45647699664,,,,,,,,,
87,4186.55,4077.814,411.048443,4488.862443,3666.765557,2782.01,2917.119,364.1970383,3281.3160383,2552.9219617,3885.07,4016.336,401.269825,4417.605825,3615.066175,3903.40196078431,3894.78725490196,390.269846771043,4285.057101673,3504.51740813092,,,,,,,,,
88,4331.31,4059.964,427.1476301,4487.1116301,3632.8163699,3097.71,2946.791,379.4561588,3326.2471588,2567.3348412,4132.65,4063.526,410.9252079,4474.4512079,3652.6007921,3876.72549019607,3872.52156862745,404.841428594211,4277.36299722166,3467.68014003324,,,,,,,,,
89,3971.23,4050.07,391.5086614,4441.5786614,3658.5613386,2866.31,2936.862,362.223172,3299.085172,2574.638828,3944.02,4080.022,404.7976524,4484.8196524,3675.2243476,3684.16666666666,3854.43039215686,389.542262132838,4243.9726542897,3464.88813002402,,,,,,,,,
90,4118.25,4035.747,407.3064191,4443.0534191,3628.4405809,3167.97,2947.465,396.3780517,3343.8430517,2551.0869483,4231.57,4067.77,419.2198336,4486.9898336,3648.5501664,3994.17647058823,3883.10098039215,389.479670296107,4272.58065068826,3493.62131009604,,,,,,,,,
91,4012.76,4008.084,412.5837503,4420.6677503,3595.5002497,3095.42,2923.02,376.9948674,3300.0148674,2546.0251326,3976.31,4055.729,396.5265786,4452.2555786,3659.2024214,3945.85294117647,3868.5431372549,384.883057030084,4253.42619428498,3483.66008022482,,,,,,,,,
92,4086.21,4013.059,412.8736837,4425.9326837,3600.1853163,3118.14,2918.412,383.903026,3302.315026,2534.508974,3829.77,4098.921,411.531505,4510.452505,3687.389495,3828.6862745098,3842.91764705882,382.727415158361,4225.64506221718,3460.19023190046,,,,,,,,,
93,3663.54,3990.009,402.5717152,4392.5807152,3587.4372848,2785.07,2910.22,363.5361504,3273.7561504,2546.6838496,3583.64,4113.824,386.7264463,4500.5504463,3727.0975537,4179.48039215686,3778.92450980392,400.611249070291,4179.53575887421,3378.31326073363,,,,,,,,,
